call_city	call_date	Temp	Humidity	Windspeed	weather_Events	date_key	calendar_quarter	calendar_month_number	Month_name	week_day_name	week_day_number	Working_day	is_a_weekend_day	is_a_public_holiday	season	wevents	call_cnt
CHERRY HILL	2015-01-05	36	39	16		20150105	1	1	January     	Monday    	2	1	0	0	1	1	1
CHERRY HILL	2015-01-06	16	78	4	Fog-Snow	20150106	1	1	January     	Tuesday   	3	1	0	0	1	7	2
CHERRY HILL	2015-01-10	18	44	8		20150110	1	1	January     	Saturday  	7	0	1	0	1	1	1
CHERRY HILL	2015-01-12	34	91	1	Rain	20150112	1	1	January     	Monday    	2	1	0	0	1	2	1
CHERRY HILL	2015-01-17	24	47	7		20150117	1	1	January     	Saturday  	7	0	1	0	1	1	1
CHERRY HILL	2015-01-29	22	59	2		20150129	1	1	January     	Thursday  	5	1	0	0	1	1	2
CHERRY HILL	2015-02-02	28	89	7	Fog-Rain-Snow	20150202	1	2	February    	Monday    	2	1	0	0	1	8	1
CHERRY HILL	2015-02-05	26	54	9		20150205	1	2	February    	Thursday  	5	1	0	0	1	1	1
CHERRY HILL	2015-02-07	31	55	2		20150207	1	2	February    	Saturday  	7	0	1	0	1	1	2
CHERRY HILL	2015-02-13	14	44	10		20150213	1	2	February    	Friday    	6	1	0	0	1	1	1
CHERRY HILL	2015-02-14	22	77	5	Fog-Snow	20150214	1	2	February    	Saturday  	7	0	1	0	1	7	1
CHERRY HILL	2015-02-16	8	50	10	Snow	20150216	1	2	February    	Monday    	2	1	0	1	1	4	1
CHERRY HILL	2015-02-17	18	79	3	Fog-Snow	20150217	1	2	February    	Tuesday   	3	1	0	0	1	7	1
CHERRY HILL	2015-02-18	15	63	2		20150218	1	2	February    	Wednesday 	4	1	0	0	1	1	2
CHERRY HILL	2015-02-20	8	43	12		20150220	1	2	February    	Friday    	6	1	0	0	1	1	1
CHERRY HILL	2015-02-24	14	52	2		20150224	1	2	February    	Tuesday   	3	1	0	0	1	1	1
CHERRY HILL	2015-03-03	28	75	6	Rain-Snow	20150303	1	3	March       	Tuesday   	3	1	0	0	2	6	1
CHERRY HILL	2015-03-04	40	94	5	Fog-Rain	20150304	1	3	March       	Wednesday 	4	1	0	0	2	7	1
CHERRY HILL	2015-03-06	14	63	6		20150306	1	3	March       	Friday    	6	1	0	0	2	1	1
CHERRY HILL	2015-03-09	42	63	3		20150309	1	3	March       	Monday    	2	1	0	0	2	1	1
CHERRY HILL	2015-03-13	38	39	4	Rain	20150313	1	3	March       	Friday    	6	1	0	0	2	2	2
CHERRY HILL	2015-04-10	50	93	5	Rain-Thunderstorm	20150410	2	4	April       	Friday    	6	1	0	0	2	6	1
CHERRY HILL	2015-04-13	56	59	4		20150413	2	4	April       	Monday    	2	1	0	0	2	1	2
CHERRY HILL	2015-05-23	57	40	6		20150523	2	5	May         	Saturday  	7	0	1	0	2	1	1
CHERRY HILL	2015-05-24	62	62	3		20150524	2	5	May         	Sunday    	1	0	1	0	2	1	1
CHERRY HILL	2015-05-25	72	60	3		20150525	2	5	May         	Monday    	2	1	0	1	2	1	1
CHERRY HILL	2015-06-01	64	91	5	Rain-Thunderstorm	20150601	2	6	June        	Monday    	2	1	0	0	3	6	1
CHERRY HILL	2015-06-03	60	81	5	Rain	20150603	2	6	June        	Wednesday 	4	1	0	0	3	2	1
CHERRY HILL	2015-06-15	78	85	3	Rain	20150615	2	6	June        	Monday    	2	1	0	0	3	2	1
CHERRY HILL	2015-07-11	75	66	1		20150711	3	7	July        	Saturday  	7	0	1	0	3	1	1
CHERRY HILL	2015-07-13	74	70	1		20150713	3	7	July        	Monday    	2	1	0	0	3	1	1
CHERRY HILL	2015-07-14	76	82	3	Rain-Thunderstorm	20150714	3	7	July        	Tuesday   	3	1	0	0	3	6	1
CHERRY HILL	2015-07-16	70	66	6		20150716	3	7	July        	Thursday  	5	1	0	0	3	1	1
CHERRY HILL	2015-07-17	68	75	2		20150717	3	7	July        	Friday    	6	1	0	0	3	1	1
CHERRY HILL	2015-07-25	73	63	1		20150725	3	7	July        	Saturday  	7	0	1	0	3	1	3
CHERRY HILL	2015-07-29	80	83	1	Fog	20150729	3	7	July        	Wednesday 	4	1	0	0	3	3	1
CHERRY HILL	2015-08-05	75	57	3		20150805	3	8	August      	Wednesday 	4	1	0	0	3	1	1
CHERRY HILL	2015-08-12	73	78	2	Fog	20150812	3	8	August      	Wednesday 	4	1	0	0	3	3	1
CHERRY HILL	2015-08-14	70	66	1		20150814	3	8	August      	Friday    	6	1	0	0	3	1	1
CHERRY HILL	2015-09-03	80	68	2		20150903	3	9	September   	Thursday  	5	1	0	0	4	1	1
CHERRY HILL	2015-09-04	76	80	3		20150904	3	9	September   	Friday    	6	1	0	0	4	1	1
CHERRY HILL	2015-09-06	68	76	1	Fog	20150906	3	9	September   	Sunday    	1	0	1	0	4	3	1
CHERRY HILL	2015-09-20	68	73	3		20150920	3	9	September   	Sunday    	1	0	1	0	4	1	1
CHERRY HILL	2015-09-21	62	66	5		20150921	3	9	September   	Monday    	2	1	0	0	4	1	1
CHERRY HILL	2015-09-23	66	65	5		20150923	3	9	September   	Wednesday 	4	1	0	0	4	1	1
CHERRY HILL	2015-09-24	64	69	2		20150924	3	9	September   	Thursday  	5	1	0	0	4	1	2
CHERRY HILL	2015-09-29	74	88	2	Fog-Rain	20150929	3	9	September   	Tuesday   	3	1	0	0	4	7	2
CHERRY HILL	2015-10-01	60	82	11	Rain	20151001	4	10	October     	Thursday  	5	1	0	0	4	2	1
CHERRY HILL	2015-10-06	58	74	2		20151006	4	10	October     	Tuesday   	3	1	0	0	4	1	1
CHERRY HILL	2015-10-07	63	75	2		20151007	4	10	October     	Wednesday 	4	1	0	0	4	1	3
CHERRY HILL	2015-10-09	65	89	3	Fog-Rain-Thunderstorm	20151009	4	10	October     	Friday    	6	1	0	0	4	8	1
CHERRY HILL	2015-10-15	54	68	2		20151015	4	10	October     	Thursday  	5	1	0	0	4	1	1
CHERRY HILL	2015-10-17	47	57	6		20151017	4	10	October     	Saturday  	7	0	1	0	4	1	1
CHERRY HILL	2015-10-19	39	66	1		20151019	4	10	October     	Monday    	2	1	0	0	4	1	2
CHERRY HILL	2015-10-20	56	54	7		20151020	4	10	October     	Tuesday   	3	1	0	0	4	1	3
CHERRY HILL	2015-10-22	59	67	2		20151022	4	10	October     	Thursday  	5	1	0	0	4	1	2
CHERRY HILL	2015-10-25	59	73	5		20151025	4	10	October     	Sunday    	1	0	1	0	4	1	1
CHERRY HILL	2015-10-26	47	67	5		20151026	4	10	October     	Monday    	2	1	0	0	4	1	1
CHERRY HILL	2015-10-27	46	77	2		20151027	4	10	October     	Tuesday   	3	1	0	0	4	1	1
CHERRY HILL	2015-10-28	61	91	8	Fog-Rain	20151028	4	10	October     	Wednesday 	4	1	0	0	4	7	1
CHERRY HILL	2015-10-29	64	73	7	Rain	20151029	4	10	October     	Thursday  	5	1	0	0	4	2	1
CHERRY HILL	2015-10-30	48	56	6		20151030	4	10	October     	Friday    	6	1	0	0	4	1	1
CHERRY HILL	2015-11-02	52	86	2		20151102	4	11	November    	Monday    	2	1	0	0	4	1	1
CHERRY HILL	2015-11-03	54	80	1	Fog	20151103	4	11	November    	Tuesday   	3	1	0	0	4	3	2
CHERRY HILL	2015-11-04	58	79	2	Fog	20151104	4	11	November    	Wednesday 	4	1	0	0	4	3	2
CHERRY HILL	2015-11-07	60	64	4		20151107	4	11	November    	Saturday  	7	0	1	0	4	1	1
CHERRY HILL	2015-11-11	56	82	9	Rain	20151111	4	11	November    	Wednesday 	4	1	0	1	4	2	1
CHERRY HILL	2015-11-13	52	45	10		20151113	4	11	November    	Friday    	6	1	0	0	4	1	1
CHERRY HILL	2015-11-14	44	46	10		20151114	4	11	November    	Saturday  	7	0	1	0	4	1	1
CHERRY HILL	2015-11-17	44	71	4		20151117	4	11	November    	Tuesday   	3	1	0	0	4	1	2
CHERRY HILL	2015-11-19	60	92	7	Rain	20151119	4	11	November    	Thursday  	5	1	0	0	4	2	1
CHERRY HILL	2015-11-20	48	59	5		20151120	4	11	November    	Friday    	6	1	0	0	4	1	1
